2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:50; INFO; GameLibrary Pluing; 9976; 10284] Loaded library v5.6.0.0 successfully in ush
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:50; WARNING; GridPlugin; 9976; 10284] [Join] winreg::RegKey TryOpen IsOk
2023-11-16 09:13:50; INFO; GridPlugin; 9976; 10284] [Join] GetProcessAccountName: Kim
2023-11-16 09:13:50; INFO; GridPlugin; 9976; 10284] Loaded library v5.6.2.0 successfully in ush
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:50; INFO; HW Pluing; 9976; 10284] Loaded library v5.6.2.0 successfully in ush
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:50; INFO; Macro Key Plugin; 9976; 10284] Loaded library v5.4.3.0 successfully in ush
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:50; INFO; MB_Home; 9976; 10284] Loaded library v5.6.2.0 successfully in ush
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:50; INFO; ScenarioProfilePlugIn; 9976; 10284] Loaded library v5.6.2.0 successfully in ush
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:50; INFO; WebSocketClientPlugin; 9976; 10284] Loaded library v1.5.3.0 successfully in ush
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:50; INFO; User Experience Improvement Plugin; 9976; 10284] Loaded library v5.6.2.0 successfully in ush
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 5
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] Start Registering
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 5
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT Start
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] StartRunning, Name: AEF Core, RunningThread 00000000000009F4
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] ---Started to run library AEF Core OK---
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 11172] Before Library AEF Core initialize
2023-11-16 09:13:50; INFO; AEF Core; 9976; 11172] (UWPInfoMonitor(ArmouryCrate))ROG System:False
2023-11-16 09:13:50; INFO; AEF Core; 9976; 11172] (UWPInfoMonitor(ArmouryCrate))UWP Info:{
  IsInstalled:1,
  PPAgreed:1,
  PPRead:1,
  Version:5.7.6.0,
}
2023-11-16 09:13:50; INFO; AEF Core; 9976; 11172] (UWPInfoMonitor(MyASUS))App(MyASUS) is not found.
2023-11-16 09:13:50; INFO; AEF Core; 9976; 11172] (UWPInfoMonitor(MyASUS))UWP Info:{
  IsInstalled:0,
  Version:,
}
2023-11-16 09:13:50; INFO; AEF Core; 9976; 11172] Core Attributes:([ModelName]:ROG STRIX Z590-F GAMING WIFI) ([ProductLine]:16) ([ProductSKU]:ROG-Strix) ([SerialNumber]:System Serial Number) ([SubBrand]:1) ([SubBrandStyle]:0) ([SystemDeviceUUID]:23AEA939B741417EA7691524D06EFAB4) ([SystemFamilyName]:To be filled by O.E.M.) 
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 11172] (14)Library AEF Core initialize OK
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT Start
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] StartRunning, Name: GameLibrary Pluing, RunningThread 00000000000005E4
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] ---Started to run library GameLibrary Pluing OK---
2023-11-16 09:13:50; WARNING; AEF Core; 9976; 10816] CheckIfNeedOnePackage start
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10800] Before Library GameLibrary Pluing into AddChildLibrary
2023-11-16 09:13:50; INFO; GameLibrary Pluing; 9976; 10800] CallLibrary Start
2023-11-16 09:13:50; INFO; GameLibrary Pluing; 9976; 10800] CallLibrary End
