2023-11-17 10:40:37; CRITICAL; User Session Main; 9604; 9608] WMain Begin
2023-11-17 10:40:37; CRITICAL; User Session Main; 9604; 9608] Before manager initializing
2023-11-17 10:40:37; CRITICAL; User Session Manager; 9604; 9608] /------------User Session Helper start to initialize------------/
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 10188] PowerRegisterSuspendResumeNotification 0
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 9236] OnEffectivePowerModeChanged Start
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 9236] OnEffectivePowerModeChanged mode=2
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 9236] OnEffectivePowerModeChanged End
2023-11-17 10:40:37; CRITICAL; User Session Manager; 9604; 9608] /------------User Session Helper initialized: 0x00000000------------/
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; WARNING; User Session Manager; 9604; 8364] WMI_DSTS(0x00130021) with invalid return value:0x00000000
2023-11-17 10:40:37; WARNING; User Session Manager; 9604; 8364] (BIOSInfoLib)GetProductLine:Motherboard.
2023-11-17 10:40:37; WARNING; User Session Manager; 9604; 8364] (BIOSInfoLib)GetProductSKU:???.
2023-11-17 10:40:37; WARNING; User Session Manager; 9604; 8364] WMI_DSTS(0x00130021) with invalid return value:0x00000000
2023-11-17 10:40:37; ERROR; User Session Manager; 9604; 8364] (BIOSInfoLib)GetSubBrand:ROG.
2023-11-17 10:40:37; INFO; AEF Core; 9604; 8364] Loaded library v5.6.2.0 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; INFO; GameBoxPlugIn; 9604; 8364] Loaded library v5.6.2.0 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; INFO; DeviceServicePlugin; 9604; 8364] Loaded library v5.6.0.8 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; INFO; Aura Pluing; 9604; 8364] Loaded library v5.6.2.0 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; INFO; Loopback Stream; 9604; 8364] Loaded library v5.1.2.0 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; INFO; ACStore Plugin; 9604; 8364] Loaded library v5.4.4.5 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; INFO; UserCenterPlugin; 9604; 8364] Loaded library v5.2.4.0 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; INFO; AC_FDSPlugIn; 9604; 8364] Loaded library v5.6.1.0 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; INFO; AC_FDSPlugIn; 9604; 11080] [ForegroundAppRecordHandle] ReadFile: 53F7C280-FBD0-412C-AF96-275A74270D8D
2023-11-17 10:40:37; INFO; AC_FDSPlugIn; 9604; 11080] [ForegroundAppRecordHandle] Read Cache size: 638
2023-11-17 10:40:37; INFO; Free Up Memory Plugin; 9604; 8364] Loaded library v5.6.2.0 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; INFO; GameLibrary Pluing; 9604; 8364] Loaded library v5.6.0.0 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
2023-11-17 10:40:37; WARNING; GridPlugin; 9604; 8364] [Join] winreg::RegKey TryOpen IsOk
2023-11-17 10:40:37; INFO; GridPlugin; 9604; 8364] [Join] GetProcessAccountName: Kim
2023-11-17 10:40:37; INFO; GridPlugin; 9604; 8364] Loaded library v5.6.2.0 successfully in ush
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN End
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-17 10:40:37; INFO; User Session Manager; 9604; 8364] USH_COMMAND_JOIN Start
